what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86_64",1371170942850
ws,sysinfo,,,"cocoa",1371170942850
locale,sysinfo,,,"pt_BR",1371170942850
processors,sysinfo,,,"4",1371170942850
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1371170942850
java.runtime.version,sysinfo,,,"1.6.0_45-b06-451-11M4406",1371170942850
java.specification.name,sysinfo,,,"Java Platform API Specification",1371170942850
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1371170942850
java.specification.version,sysinfo,,,"1.6",1371170942850
java.vendor,sysinfo,,,"Apple Inc.",1371170942850
java.version,sysinfo,,,"1.6.0_45",1371170942850
java.vm.info,sysinfo,,,"mixed mode",1371170942850
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1371170942850
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1371170942850
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1371170942850
java.vm.specification.version,sysinfo,,,"1.0",1371170942850
java.vm.vendor,sysinfo,,,"Apple Inc.",1371170942850
java.vm.version,sysinfo,,,"20.45-b01-451",1371170942850
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1371170943403
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1371170943569
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1371170943590
started,bundle,org.eclipse.wb.discovery.core,1.5.2.r37x201302111927,"org.eclipse.wb.discovery.core",1371170943781
started,bundle,org.eclipse.wb.discovery.ui,1.5.2.r37x201302111927,"org.eclipse.wb.discovery.ui",1371170945234
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1371170945317
activated,editor,com.android.ide.eclipse.adt,22.0.1.v201305230001--685705,"com.android.ide.eclipse.editors.CommonXmlEditor",1371170945317
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371170945377
activated,editor,com.android.ide.eclipse.adt,22.0.1.v201305230001--685705,"com.android.ide.eclipse.editors.CommonXmlEditor",1371170947089
started,bundle,org.eclipse.wb.core.lib,1.5.2.r37x201302111859,"org.eclipse.wb.core.lib",1371170947624
started,bundle,org.eclipse.wb.core,1.5.2.r37x201302111859,"org.eclipse.wb.core",1371170947755
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1371170948238
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371170949140
closed,editor,com.android.ide.eclipse.adt,22.0.1.v201305230001--685705,"com.android.ide.eclipse.editors.CommonXmlEditor",1371170949624
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1371170950553
error,log,,,"Failed to update a TargetChangeListener.",1371170950580
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1371170950585
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1371170950700
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1371170951139
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1371170951411
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371170951465
opened,editor,com.android.ide.eclipse.adt,22.0.1.v201305230001--685705,"com.android.ide.eclipse.editors.CommonXmlEditor",1371170951856
activated,editor,com.android.ide.eclipse.adt,22.0.1.v201305230001--685705,"com.android.ide.eclipse.editors.CommonXmlEditor",1371170952216
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371170952216
opened,editor,com.android.ide.eclipse.adt,22.0.1.v201305230001--685705,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1371170953206
activated,editor,com.android.ide.eclipse.adt,22.0.1.v201305230001--685705,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1371170953251
closed,editor,com.android.ide.eclipse.adt,22.0.1.v201305230001--685705,"com.android.ide.eclipse.editors.CommonXmlEditor",1371170953251
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1371170954577
closed,editor,com.android.ide.eclipse.adt,22.0.1.v201305230001--685705,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1371170954577
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371170958880
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371170968832
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1371170973166
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371170977109
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371170983679
started,bundle,org.eclipse.wb.core.ui,1.5.2.r37x201302111927,"org.eclipse.wb.core.ui",1371171014782
started,bundle,org.eclipse.wb.core.java,1.5.2.r37x201302111907,"org.eclipse.wb.core.java",1371171022046
started,bundle,org.eclipse.wb.swing,1.5.2.r37x201302112024,"org.eclipse.wb.swing",1371171022063
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371171022388
started,bundle,org.eclipse.wb.rcp,1.5.2.r37x201302112047,"org.eclipse.wb.rcp",1371171040741
started,bundle,org.eclipse.wb.swt,1.5.2.r37x201302112017,"org.eclipse.wb.swt",1371171040771
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371171041518
error,log,,,"Could not create action delegate for id: org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1371171041740
error,log,,,"Plug-in org.eclipse.wb.core.java was unable to load class org.eclipse.debug.ui.actions.RulerToggleBreakpointActionDelegate.",1371171041741
started,bundle,org.eclipse.wb.rcp.databinding,1.5.2.r37x201302112047,"org.eclipse.wb.rcp.databinding",1371171041863
started,bundle,org.eclipse.wb.swing.databinding,1.5.2.r37x201302112024,"org.eclipse.wb.swing.databinding",1371171041893
started,bundle,org.eclipse.wb.core.xml,1.5.2.r37x201302111919,"org.eclipse.wb.core.xml",1371171042288
