what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1370997402535
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1370997402776
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1370997405101
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1370997405532
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1370997406343
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1370997406619
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1370997408602
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1370997408812
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1370997409887
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1370997410390
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1370997412120
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1370997415641
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1370997425828
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1370997426998
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1370997428460
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1370997428953
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1370997430786
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1370997431334
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1370997444437
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370997450391
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370997450485
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1370997451646
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1370997460564
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1370997471214
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1370997475474
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370997479419
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370997508789
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1370997510849
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1370997513435
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1370997513508
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1370997513608
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1370997520583
executed,command,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.junitShortcut.run",1370997524293
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370997524328
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370997531946
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370997532243
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370997534289
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1370997540702
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370997541322
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370997543976
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1370997553339
executed,command,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.junitShortcut.run",1370997563206
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370997563230
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370997564588
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370997630525
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370997686941
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1370997688026
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1370997692830
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370997697035
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370997699006
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1370997699046
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370997705310
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370997773373
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.properties",1370997773417
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1370997776604
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1370997776674
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1370997785951
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1370997787437
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1370997797206
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1370997797381
executed,command,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.junitShortcut.run",1370997803925
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370997803951
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370997805705
activated,view,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.ResultView",1370997809047
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1370997809216
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1370997811099
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1370997812621
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370997822847
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370997822942
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1370997825463
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1370997829586
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1370997829770
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370997833638
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370997833715
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1370997835449
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1370997839138
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1370997840830
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1370997841798
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370997852810
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370997852895
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370997858102
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370997858183
