what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1371210126022
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1371210127737
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1371210127797
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371210128370
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371210129908
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371210130369
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371210135331
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1371210136716
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1371210136824
closed,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1371210136826
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371210146227
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371210149068
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371210149439
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371210154863
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1371210160467
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1371210160481
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1371210160631
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1371210160643
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1371210160746
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1371210160750
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1371210160761
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1371210160765
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1371210160767
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1371210160824
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1371210160830
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371210163542
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371210163589
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1371210172078
started,bundle,com.android.ide.eclipse.ddms,22.0.1.v201305230001--685705,"com.android.ide.eclipse.ddms",1371210192010
started,bundle,com.android.ide.eclipse.traceview,22.0.1.v201305230001--685705,"com.android.ide.eclipse.traceview",1371210192228
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371210193927
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371210239314
opened,view,com.android.ide.eclipse.ddms,22.0.1.v201305230001--685705,"com.android.ide.eclipse.ddms.views.LogCatView",1371210241107
activated,view,com.android.ide.eclipse.ddms,22.0.1.v201305230001--685705,"com.android.ide.eclipse.ddms.views.LogCatView",1371210241127
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1371210242369
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371210245907
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371210433984
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371210436879
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371210870840
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371210872849
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371210873814
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371210873985
